d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed,region,assists_per_level,damage_obj_per_level,damage_building_per_level,damage_turrets_per_level,deaths_per_level,kills_per_level,time_cc_per_level,damage_taken_per_level,turret_kills_per_level,vision_score_per_level,damage_total_per_level,gold_earned_per_level
3.0,4.0,Senna,Side.blue,16.0,1826.0,14087.0,1826.0,10.0,2.3,7.0,16.0,26.0,27102.0,1.0,,89787,13272,Other,Few,EU,1.0,114.125,880.4375,114.125,0.625,0.4375,1.625,1693.875,0.0625,3.4968425161439867,5611.6875,829.5
14.0,4.0,Nami,Side.red,14.0,176.0,506.0,176.0,8.0,1.875,1.0,13.0,27.0,16891.0,1.0,48.0,11210,7744,Other,Few,EU,1.0769230769230769,13.538461538461538,38.92307692307692,13.538461538461538,0.6153846153846154,0.07692307692307693,2.076923076923077,1299.3076923076924,0.07692307692307693,3.6923076923076925,862.3076923076923,595.6923076923077
,12.0,TahmKench,Side.blue,12.0,5225.0,9160.0,5225.0,4.0,3.5,2.0,15.0,27.0,29067.0,2.0,15.0,83365,9933,TopLane_Jungle,Many,EU,0.8,348.3333333333333,610.6666666666666,348.3333333333333,0.26666666666666666,0.13333333333333333,1.8,1937.8,0.13333333333333333,1.0,5557.666666666667,662.2
12.0,4.0,Malzahar,Side.blue,12.0,4221.0,19241.0,4221.0,5.0,3.0,3.0,15.0,57.0,14700.0,2.0,28.0,129984,11244,Other,Many,EU,0.8,281.4,1282.7333333333333,281.4,0.3333333333333333,0.2,3.8,980.0,0.13333333333333333,1.8666666666666667,8665.6,749.6
4.0,11.0,LeeSin,Side.blue,11.0,658.0,31718.0,658.0,8.0,2.875,12.0,17.0,,44497.0,1.0,44.0,185256,14825,TopLane_Jungle,Few,EU,0.6470588235294118,38.705882352941174,1865.764705882353,38.705882352941174,0.47058823529411764,0.7058823529411765,1.0,2617.470588235294,0.058823529411764705,2.588235294117647,10897.411764705883,872.0588235294117
6.0,11.0,Hecarim,Side.blue,11.0,764.0,9590.0,764.0,4.0,5.0,9.0,16.0,13.0,42154.0,1.0,,170661,12995,TopLane_Jungle,Few,EU,0.6875,47.75,599.375,47.75,0.25,0.5625,0.8125,2634.625,0.0625,1.5315724647901119,10666.3125,812.1875
7.0,4.0,Vayne,Side.red,6.0,4779.0,9920.0,4779.0,7.0,2.428571429,11.0,16.0,5.0,23880.0,2.0,10.0,156078,14909,Other,Many,EU,0.375,298.6875,620.0,298.6875,0.4375,0.6875,0.3125,1492.5,0.125,0.625,9754.875,931.8125
4.0,12.0,Sylas,Side.red,3.0,607.0,3669.0,607.0,6.0,1.166666667,4.0,14.0,15.0,24070.0,0.0,19.0,80715,9110,Other,Many,EU,0.21428571428571427,43.357142857142854,262.07142857142856,43.357142857142854,0.42857142857142855,0.2857142857142857,1.0714285714285714,1719.2857142857142,0.0,1.3571428571428572,5765.357142857143,650.7142857142857
,12.0,Poppy,Side.red,8.0,3059.0,6687.0,,2.0,6.5,5.0,15.0,25.0,24368.0,2.0,12.0,127963,11566,TopLane_Jungle,Many,EU,0.5333333333333333,203.93333333333334,445.8,,0.13333333333333333,0.3333333333333333,1.6666666666666667,1624.5333333333333,0.13333333333333333,0.8,8530.866666666667,771.0666666666667
4.0,14.0,Teemo,Side.red,2.0,1785.0,4074.0,1785.0,6.0,1.166666667,5.0,14.0,28.0,16619.0,0.0,28.0,104181,9875,TopLane_Jungle,Many,EU,0.14285714285714285,127.5,291.0,127.5,0.42857142857142855,0.35714285714285715,2.0,1187.0714285714287,0.0,2.0,7441.5,705.3571428571429
